S.No,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,RSI,MACD,Signal Line,BB_upper,BB_middle,BB_lower,50_MA,200_MA,Daily_Returns,Volatility,Differenced_Close
18,7/18/2011,1.822667003,1.830000043,1.775333047,1.815333009,1.815333009,12778500,1.874200058,1.86548002,43.59621016,0.001382848,0.012365833,1.989193601,1.874200058,1.759206515,1.86548002,1.747530003,-0.01269073,0.029818617,-0.023334026
19,7/19/2011,1.838667035,1.873999953,1.835999966,1.859333038,1.859333038,15391500,1.880466712,1.866506681,48.75391735,0.00016126,0.009924918,1.976276021,1.880466712,1.784657402,1.866506681,1.749960003,0.024237993,0.029794318,0.04400003
20,7/20/2011,1.866667032,2.029333115,1.853332996,1.912667036,1.912667036,45724500,1.884333414,1.867546682,54.21869413,0.003456902,0.008631315,1.978776941,1.884333414,1.789889887,1.867546682,1.752526674,0.028684478,0.029785797,0.053333998
21,7/21/2011,1.927332997,1.944000006,1.873332977,1.913333058,1.913333058,15172500,1.889300066,1.868040004,54.28425533,0.006052693,0.00811559,1.978741375,1.889300066,1.799858758,1.868040004,1.755053339,0.000348217,0.029716597,0.000666022
22,7/22/2011,1.913333058,1.969333053,1.903332949,1.952666998,1.952666998,8752500,1.894566768,1.871000004,58.10045716,0.011155206,0.008723513,1.985888293,1.894566768,1.803245243,1.871000004,1.757996674,0.020557811,0.029116612,0.03933394
23,7/25/2011,1.934000015,1.950000048,1.896000028,1.899333,1.899333,10099500,1.897633415,1.872093325,51.78777187,0.010771212,0.009133053,1.985192473,1.897633415,1.810074358,1.872093325,1.760683339,-0.027313412,0.029257386,-0.053333998
24,7/26/2011,1.887333035,1.917999983,1.864667058,1.866667032,1.866667032,11409000,1.899433416,1.872693326,48.32456362,0.007741781,0.008854799,1.982791153,1.899433416,1.81607568,1.872693326,1.763206674,-0.017198652,0.029361621,-0.032665968
25,7/27/2011,1.899999976,1.899999976,1.833999991,1.842666984,1.842666984,14377500,1.897866768,1.874080007,45.89611681,0.003365536,0.007756946,1.984202207,1.897866768,1.811531329,1.874080007,1.765673344,-0.012857166,0.028989048,-0.024000049
26,7/28/2011,1.840000033,1.903332949,1.835999966,1.878000021,1.878000021,14080500,1.897466767,1.877026668,49.88866496,0.002717091,0.006748975,1.984092062,1.897466767,1.810841472,1.877026668,1.768316679,0.019174945,0.028865516,0.035333037
27,7/29/2011,1.853332996,1.893332958,1.833333015,1.878000021,1.878000021,14223000,1.894266766,1.879453328,49.88866496,0.002178085,0.005834797,1.978777891,1.894266766,1.809755642,1.879453328,1.770860014,0.0,0.028805741,0.0
28,8/1/2011,1.911332965,1.932000041,1.880666971,1.917999983,1.917999983,17473500,1.893433416,1.880213327,54.31499111,0.004921846,0.005652207,1.976653424,1.893433416,1.810213408,1.880213327,1.773533349,0.021299234,0.027220001,0.039999962
29,8/2/2011,1.912667036,1.946666956,1.817999959,1.822667003,1.822667003,23241000,1.887433416,1.879373326,44.27686633,-0.000589483,0.004403869,1.972863841,1.887433416,1.802002991,1.879373326,1.775800019,-0.04970437,0.028117187,-0.09533298
30,8/3/2011,1.833333015,1.855332971,1.756000042,1.813333035,1.813333035,26917500,1.881566715,1.879879987,43.43054366,-0.005645348,0.002394025,1.9703644,1.881566715,1.792769031,1.879879987,1.778123349,-0.00512105,0.027498819,-0.009333968
31,8/4/2011,1.767333031,1.792667031,1.644667029,1.649999976,1.649999976,45967500,1.864966714,1.877253327,31.92937493,-0.02257158,-0.002599096,1.989425748,1.864966714,1.740507681,1.877253327,1.779690014,-0.090073393,0.030343459,-0.163333058
32,8/5/2011,1.666000009,1.692000031,1.521999955,1.616000056,1.616000056,29466000,1.849733365,1.870933328,30.1400891,-0.03828789,-0.009736855,2.01202386,1.849733365,1.687442869,1.870933328,1.780886679,-0.020606012,0.027825402,-0.03399992
33,8/8/2011,1.539999962,1.629333019,1.539999962,1.575999975,1.575999975,39127500,1.834033364,1.863146667,28.14201256,-0.0533558,-0.018460644,2.034068257,1.834033364,1.633998471,1.863146667,1.781850014,-0.024752525,0.027829999,-0.040000081
