S.No,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,RSI,MACD,Signal Line,BB_upper,BB_middle,BB_lower,50_MA,200_MA,Daily_Returns,Volatility,Differenced_Close
1062,9/10/2015,16.48200035,16.71466637,16.35533333,16.56533241,16.56533241,40635000,16.17739973,16.96017326,51.45353331,-0.094027693,-0.222486726,17.63889863,16.17739973,14.71590083,16.96017326,15.27081329,-0.001727579,0.031390574,-0.02866745
2410,1/19/2021,279.2666626,283.3333435,277.6666565,281.5166626,281.5166626,76101000,249.5124992,207.1235992,68.11879649,22.3494053,21.11849277,303.9579815,249.5124992,195.067017,207.1235992,124.031683,0.022259629,0.039909309,6.130004883
382,12/27/2012,2.233333111,2.260667086,2.200000048,2.246000051,2.246000051,8416500,2.279766655,2.119319983,52.0335304,0.035592209,0.051350238,2.346569569,2.279766655,2.212963741,2.119319983,2.082583317,0.002977287,0.022615189,0.006667137
3114,11/3/2023,221.1499939,226.3699951,218.3999939,219.9600067,219.9600067,119281000,228.8114998,244.9005994,44.20167547,-11.39744218,-11.09512118,275.241167,228.8114998,182.3818325,244.9005994,219.0607497,0.006635908,0.033689626,1.450012207
1914,1/30/2019,20.03000069,20.60000038,19.89933205,20.58466721,20.58466721,168754500,21.27120008,22.28881336,45.49121404,-0.65281283,-0.49741705,24.13239093,21.27120008,18.41000924,22.28881336,20.99959997,0.038021903,0.038582575,0.75399971
2044,8/6/2019,15.4586668,15.5,15.05000019,15.38333321,15.38333321,83463000,16.26516676,15.04792002,45.44081536,0.018744209,0.221821292,17.79701408,16.26516676,14.73331944,15.04792002,18.70781334,0.010643001,0.031079348,0.162000656
1011,6/29/2015,17.46333313,17.72999954,17.37999916,17.46800041,17.46800041,52183500,17.12110004,16.29582657,59.73077771,0.425980745,0.420917104,18.07062004,17.12110004,16.17158005,16.29582657,15.11317665,-0.018982329,0.016517733,-0.337999344
1160,2/1/2016,12.58399963,13.30133343,12.1833334,13.12933254,13.12933254,79464000,13.61206665,14.58372002,39.78014479,-0.556424905,-0.50846417,14.98491522,13.61206665,12.23921808,14.58372002,15.81911996,0.030020839,0.023484204,0.382665634
2122,11/25/2019,22.95466614,22.97133255,22.29733276,22.42266655,22.42266655,185092500,22.40666676,19.06161343,58.27469848,1.168176485,1.401553049,24.46604067,22.40666676,20.34729284,19.06161343,17.04322335,0.009908688,0.035907805,0.219999313
663,2/10/2014,12.62266731,13.28666687,12.62133312,13.10400009,13.10400009,194560500,11.65423336,10.44273333,69.55772935,0.570471371,0.518781956,13.12921962,11.65423336,10.1792471,10.44273333,9.266366653,0.053771526,0.042170225,0.66866684
3027,7/3/2023,276.4899902,284.25,275.1099854,279.8200073,279.8200073,119685900,251.3114998,205.6369995,71.57983449,16.50146822,17.26689129,283.4374905,251.3114998,219.185509,205.6369995,194.4576998,0.068953734,0.028135807,18.05001831
1264,6/29/2016,13.67533302,14.11866665,13.53333282,14.0126667,14.0126667,89923500,14.31540008,14.74800016,47.17012342,-0.370198144,-0.291643037,15.86470609,14.31540008,12.76609406,14.74800016,14.60740336,0.041627393,0.02583755,0.559999466
1779,7/17/2018,20.58733368,21.64933205,20.56666756,21.5126667,21.5126667,104943000,22.00199976,20.98273323,49.8672156,-0.112827954,0.069149045,24.13673231,22.00199976,19.86726721,20.98273323,21.3408466,0.040599865,0.029075879,0.839334488
3161,1/12/2024,220.0800018,225.3399963,217.1499939,218.8899994,218.8899994,122889000,245.2744987,237.5631995,31.94668012,-3.573683559,-0.005240971,266.932022,245.2744987,223.6169755,237.5631995,231.3375495,-0.036660513,0.025704185,-8.330001831
2549,8/6/2021,237.3000031,238.7766724,232.543335,233.0333405,233.0333405,46869000,223.584668,216.2279346,60.3010214,5.125584277,3.522915646,240.5162334,223.584668,206.6531025,216.2279346,218.4077834,-0.021731523,0.021831352,-5.17666626
3108,10/26/2023,211.3200073,214.8000031,204.8800049,205.7599945,205.7599945,115112600,242.8344994,247.2295993,27.30071044,-11.45450215,-6.356744137,283.3580452,242.8344994,202.3109536,247.2295993,216.5956997,-0.031352997,0.033791433,-6.660003662
846,10/30/2014,15.8760004,16.03333282,15.67066669,15.91066742,15.91066742,48426000,15.90806665,16.87923996,48.57101732,-0.3000616,-0.390990948,17.57121445,15.90806665,14.24491886,16.87923996,15.01210333,0.002352023,0.029797664,0.037334442
